Timestamp,Open,High,Low,Close
2023-11-02T20:45:00Z,217.3222,217.6,216.3,216.6
2023-11-02T21:00:00Z,216.67,217.48,216.67,217.086
2023-11-02T21:15:00Z,217,217.0994,215.8,215.98
2023-11-02T21:30:00Z,215.8846,216,213.7443,215.12
2023-11-02T21:45:00Z,215.17,215.48,214.35,215
2023-11-02T22:00:00Z,215,215.92,214.9214,215.4
2023-11-02T22:15:00Z,215.33,216.05,215.3,215.85
2023-11-02T22:30:00Z,215.96,216.63,215.91,216.4362
2023-11-02T22:45:00Z,216.5,216.5,216.1,216.2163
2023-11-02T23:00:00Z,216.35,216.67,216.32,216.4899
2023-11-02T23:15:00Z,216.42,216.49,216.03,216.28
2023-11-02T23:30:00Z,216.38,216.86,216.36,216.63
2023-11-02T23:45:00Z,216.61,217.35,216.53,217.09
2023-11-03T08:00:00Z,217.15,217.37,216.79,217.11
2023-11-03T08:15:00Z,217.11,217.41,216.7,216.7
2023-11-03T08:30:00Z,216.63,216.63,216.2,216.39
2023-11-03T08:45:00Z,216.4,216.4,216.16,216.33
2023-11-03T09:00:00Z,216.3,216.3,215.54,215.6
2023-11-03T09:15:00Z,215.59,216.2,215.51,216.11
2023-11-03T09:30:00Z,216.15,216.2,216,216.1
2023-11-03T09:45:00Z,216.03,216.49,216.03,216.49
2023-11-03T10:00:00Z,216.38,216.56,216.3,216.56
2023-11-03T10:15:00Z,216.53,216.94,216.53,216.89
2023-11-03T10:30:00Z,216.87,216.87,216.69,216.75
2023-11-03T10:45:00Z,216.71,216.81,216.61,216.61
2023-11-03T11:00:00Z,216.56,216.84,216.2,216.3
2023-11-03T11:15:00Z,216.3,216.73,216.3,216.73
2023-11-03T11:30:00Z,216.7,217.44,216.45,217.3
2023-11-03T11:45:00Z,217.3,217.92,217.22,217.89
2023-11-03T12:00:00Z,216.8,219.09,216.2104,218.87
2023-11-03T12:15:00Z,218.85,218.91,218.13,218.34
2023-11-03T12:30:00Z,218.34,222,218.34,221.3884
2023-11-03T12:45:00Z,221.3,222.63,221.23,222.16
2023-11-03T13:00:00Z,222.16,222.2,221.4,221.8933
2023-11-03T13:15:00Z,221.89,222.15,221.09,221.16
2023-11-03T13:30:00Z,221.16,223.25,220.53,223.01
2023-11-03T13:45:00Z,223.0412,226.3701,222.96,225.03
2023-11-03T14:00:00Z,225.1,225.78,223.3,223.47
2023-11-03T14:15:00Z,223.44,224.47,221.54,222.62
2023-11-03T14:30:00Z,222.5935,222.82,221.2,221.7553
2023-11-03T14:45:00Z,221.77,223.02,220.9,221.81
2023-11-03T15:00:00Z,221.82,221.82,219.91,220.18
2023-11-03T15:15:00Z,220.2,220.82,219.77,219.99
2023-11-03T15:30:00Z,220.03,221.66,220.0031,220.457
2023-11-03T15:45:00Z,220.44,220.599,218.94,219.05
2023-11-03T16:00:00Z,219.05,220.61,218.5,220.51
2023-11-03T16:15:00Z,220.5485,221.38,220.14,220.96
2023-11-03T16:30:00Z,220.9699,221.36,220.13,220.4497
2023-11-03T16:45:00Z,220.44,220.4898,219.56,219.7307
2023-11-03T17:00:00Z,219.71,220.3,219.31,219.46
2023-11-03T17:15:00Z,219.44,220.03,218.92,219.3332
2023-11-03T17:30:00Z,219.34,219.7,218.82,218.99
2023-11-03T17:45:00Z,218.97,219.59,218.4,219.4172
2023-11-03T18:00:00Z,219.41,219.79,218.8131,219.337
2023-11-03T18:15:00Z,219.32,220.24,219.1101,220.1775
2023-11-03T18:30:00Z,220.18,220.82,219.83,220.4239
2023-11-03T18:45:00Z,220.4255,220.53,219.57,219.74
2023-11-03T19:00:00Z,219.7508,220.0537,218.9201,219.4
2023-11-03T19:15:00Z,219.41,219.46,219.08,219.4007
2023-11-03T19:30:00Z,219.4,219.47,218.65,218.9915
2023-11-03T19:45:00Z,219,220.1699,218.85,219.95
2023-11-03T20:00:00Z,219.92,220.05,219.63,219.73
2023-11-03T20:15:00Z,219.75,219.96,218.95,218.97
2023-11-03T20:30:00Z,218.91,219.64,218.91,219.43
2023-11-03T20:45:00Z,219.5,219.8,219.43,219.6
2023-11-03T21:00:00Z,219.64,220.28,219.64,220.22
2023-11-03T21:15:00Z,220.22,220.27,219.91,219.96
